#Event Number   e2s             e3s             
66558           0.067506        0.0982735       
66676           0.133508        0.102628        
66729           0.0199385       0.0950286       
66761           0.0341929       0.145884        
67004           0.153706        0.0324476       
67036           0.124105        0.0124212       
67103           0.0831749       0.0909973       
67369           0.0723788       0.0637303       
67436           0.166622        0.0687094       
67470           0.0951716       0.0430465       
67497           0.0908464       0.0113842       
67603           0.0180095       0.0706039       
67604           0.0637072       0.109594        
67655           0.0902504       0.0161083       
67689           0.0439738       0.077469        
67743           0.106677        0.0871459       
67873           0.0935086       0.0480484       
68001           0.131728        0.0489461       
68134           0.0450963       0.155296        
68662           0.0884658       0.101243        
68877           0.0188566       0.0512705       
68988           0.126006        0.0398936       
69077           0.0295122       0.134702        
69446           0.104348        0.0834102       
69507           0.141056        0.0416129       
69516           0.125956        0.0445575       
69530           0.00401852      0.0969325       
69574           0.0661267       0.112768        
69675           0.129403        0.0563187       
69721           0.0556957       0.0332923       
69735           0.0257549       0.0482921       
69750           0.100803        0.162422        
69804           0.136948        0.048092        
69869           0.0973485       0.0873505       
69992           0.0350094       0.123147        
70289           0.0532404       0.0834916       
70296           0.031739        0.0603217       
70367           0.144332        0.0432582       
70454           0.0254317       0.0350482       
70499           0.0835703       0.0357637       
70510           0.0842095       0.0884623       
70584           0.132174        0.0115293       
70590           0.0220934       0.104182        
70663           0.133314        0.0714729       
70722           0.0769671       0.0757268       
70799           0.0572894       0.105655        
70849           0.0608148       0.11163         
70855           0.0438686       0.108362        
70991           0.0686903       0.00425372      
71066           0.102797        0.0976323       
71139           0.157726        0.160537        
71168           0.062886        0.0456156       
71307           0.101653        0.0655459       
71508           0.0296588       0.117852        
71526           0.0747665       0.0458033       
71593           0.187668        0.0993187       
71631           0.104644        0.11473         
71769           0.0729142       0.0861611       
71875           0.076406        0.0682466       
71881           0.101545        0.0472073       
72044           0.0524329       0.154888        
72092           0.119325        0.0349262       
72216           0.0506633       0.0496218       
72259           0.111365        0.0581638       
72319           0.10225         0.0713477       
72456           0.059146        0.130164        
72597           0.0579629       0.0872777       
72704           0.0745137       0.0962097       
72771           0.076942        0.141022        
72839           0.0179303       0.0866164       
72863           0.212614        0.144852        
72961           0.141171        0.0896251       
72986           0.0620543       0.0670584       
73065           0.0200007       0.0863425       
73500           0.138426        0.131034        
73511           0.142561        0.106107        
73545           0.165722        0.0426204       
73562           0.00687027      0.174036        
73668           0.0156192       0.00516741      
73694           0.0536042       0.0927835       
73946           0.0480801       0.0654313       
74094           0.128405        0.0475942       
74097           0.0609113       0.0668406       
74255           0.0672899       0.117571        
74263           0.060015        0.0974017       
74321           0.12163         0.0928262       
74379           0.144788        0.0912621       
74385           0.0506203       0.125745        
74452           0.0751663       0.0167006       
74470           0.13021         0.0868225       
74587           0.0572546       0.0876272       
74675           0.031313        0.105796        
74707           0.0507442       0.0206701       
74849           0.0493875       0.0737268       
74888           0.0635418       0.124122        
74938           0.0370683       0.0795698       
74990           0.0742268       0.132493        
75146           0.0763071       0.0212044       
75180           0.0480325       0.0343244       
75321           0.0310468       0.0289904       
75483           0.0954107       0.0410975       
75566           0.15142         0.0909825       
75593           0.0895566       0.0591279       
75600           0.119612        0.0263767       
75606           0.114287        0.0423292       
75693           0.061441        0.0523995       
75749           0.121446        0.0872823       
75814           0.0299352       0.0533871       
76015           0.103084        0.0998476       
76044           0.00699426      0.0721176       
76051           0.0138436       0.00776274      
76308           0.0478555       0.0694872       
76382           0.0972738       0.0476906       
76905           0.053005        0.025166        
76937           0.0433645       0.0977123       
77304           0.148619        0.0369268       
77317           0.0741394       0.0514399       
77425           0.0531641       0.0736571       
77450           0.165534        0.0679877       
77572           0.0355457       0.0892643       
77612           0.0213927       0.0564967       
77716           0.082459        0.101967        
77863           0.0811          0.054746        
78125           0.01479         0.0489638       
78134           0.164493        0.139827        
78300           0.0685743       0.0231832       
78497           0.134172        0.0893309       
78557           0.0941107       0.0945916       
78577           0.128647        0.0480777       
78607           0.0990879       0.0336214       
78904           0.13073         0.12273         
78944           0.0231137       0.109346        
79100           0.020842        0.126674        
79138           0.0346618       0.129596        
79141           0.135449        0.0623399       
79144           0.059761        0.0953653       
79206           0.0229275       0.119503        
79221           0.0242201       0.130542        
79318           0.0267132       0.105678        
79325           0.0330101       0.079521        
79354           0.0811308       0.122472        
79524           0.0909139       0.0771033       
79552           0.109626        0.0922121       
79804           0.0334126       0.0365481       
79941           0.129896        0.0393227       
80030           0.0984548       0.110687        
80095           0.0355184       0.024694        
80136           0.0412711       0.139015        
80399           0.132338        0.0814074       
80452           0.0977146       0.103731        
80662           0.0735402       0.0430076       
80702           0.0160138       0.0537611       
80877           0.0560151       0.00912534      
81388           0.0247298       0.0935759       
81506           0.041398        0.0795298       
81634           0.12967         0.046902        
81645           0.0879956       0.0863602       
81940           0.0455086       0.0541272       
82028           0.0534386       0.0731443       
82059           0.0191919       0.0162213       
82108           0.0821757       0.0542198       
82116           0.0215236       0.118562        
82385           0.136734        0.0904628       
82525           0.0192834       0.0804257       
82682           0.00870479      0.0334367       
82787           0.0950821       0.0471637       
82823           0.0351973       0.139426        
82844           0.105904        0.129027        
82989           0.0146641       0.0408975       
83032           0.0402738       0.103902        
83065           0.104595        0.108354        
83178           0.0951444       0.0904501       
83291           0.0238103       0.143253        
83572           0.152491        0.0796355       
83604           0.134283        0.108902        
83663           0.0212234       0.164371        
83787           0.0744099       0.0596414       
83789           0.0432377       0.060941        
83810           0.0150006       0.183423        
83895           0.0423274       0.0842157       
83944           0.0763666       0.082439        
83994           0.0505236       0.0371513       
84066           0.019076        0.0816822       
84075           0.0993137       0.119599        
84377           0.0695333       0.040975        
84478           0.0775192       0.0605475       
84523           0.0263694       0.00850328      
85020           0.0882582       0.0302746       
85031           0.0378572       0.0739451       
85058           0.0434535       0.0523101       
85114           0.088662        0.143637        
85516           0.0635352       0.0818189       
85641           0.0534496       0.101701        
85978           0.0300289       0.0395124       
86164           0.0789598       0.12276         
86677           0.0171565       0.0734694       
86691           0.0409601       0.116099        
86731           0.0446929       0.0638631       
86733           0.0542094       0.0843405       
86751           0.0353238       0.0916065       
86887           0.0122897       0.0954465       
87153           0.0810628       0.0632246       
87277           0.0868475       0.0946105       
87292           0.187308        0.0224748       
87445           0.023131        0.0769079       
87458           0.0738726       0.0918018       
87632           0.152788        0.0294357       
87657           0.13807         0.0244881       
87713           0.0875878       0.102883        
87794           0.0924295       0.0969963       
87852           0.121183        0.112273        
87877           0.128869        0.0540245       
87971           0.0540764       0.0437593       
87994           0.0988512       0.122469        
88121           0.109121        0.0240933       
88230           0.0730068       0.108887        
88414           0.0588403       0.0290951       
88477           0.112747        0.103294        
88665           0.19144         0.133105        
